Bengali,Chakma,Tense
তার বাবা কোথা থেকে আসতেছে,𑄖 𑄝𑄝𑄬 𑄇𑄨𑄠𑄧𑄋𑄧𑄖𑄴𑄪𑄚𑄴 𑄃𑄬𑄣𑄧𑄉𑄮𑄃𑄨 𑄃𑄧𑄚𑄪 𑄣𑄟𑄨𑄣𑄧।,Present
কত গেলে বিঝু খাওা যা না,𑄇𑄧𑄙𑄧 𑄉𑄬𑄣𑄬 𑄝𑄨𑄏𑄪 𑄈𑄚 𑄚𑄧𑄠𑄴।,Present
দুটি ঘর বোনো,𑄘𑄨𑄠𑄚𑄴 𑄃𑄬𑄇𑄴𑄇𑄚𑄴 𑄊𑄧𑄢𑄴 𑄝𑄬𑄢𑄚।,Present
"সঙ্গী নেওা, সঙ্গ দেওা",𑄥𑄟𑄴𑄝𑄘𑄴 𑄣𑄧𑄚।,Present
.মেেটা বািে যখন নামল মনে হ সে তাকে বোতে আছে,𑄟𑄨𑄖𑄪𑄘𑄊𑄨 𑄊𑄧𑄢𑄧𑄖𑄴 𑄡𑄬𑄇𑄴𑄬 𑄣𑄪𑄋𑄨𑄣𑄧 𑄝𑄪𑄏𑄨𑄣𑄧 𑄚𑄧𑄚𑄝𑄨 𑄖𑄢𑄬 𑄝𑄌𑄴𑄌𑄬𑄃𑄨 𑄃𑄊𑄬।,Past
.মেেটা নািে কি যেন কুাকুিটা কানের কাছে একটু লিখলো,𑄟𑄨𑄖𑄪𑄣𑄮𑄃𑄨 𑄚𑄧𑄚𑄝𑄨 𑄇𑄨 𑄡𑄬𑄚𑄬 𑄇𑄪𑄠𑄝𑄪𑄣𑄧 𑄉𑄧𑄢𑄴𑄖𑄧𑄚𑄴 𑄇𑄚𑄬 𑄇𑄚𑄬 𑄃𑄬𑄇𑄴𑄇 𑄣𑄳𑄦𑄬 𑄉𑄧𑄢𑄴𑄣𑄧।,Past
মেেকে দেে কল - এই তো সে চলে গেল,𑄟𑄨𑄖𑄪 𑄃𑄧𑄚𑄪𑄢𑄬 𑄘𑄬𑄃𑄨𑄚𑄬 𑄇𑄧𑄣𑄧 - 𑄃𑄬𑄃𑄨 𑄘𑄧 𑄚𑄬𑄖𑄎𑄨 𑄞𑄬𑄃𑄨𑄝𑄮 𑄣𑄪𑄋𑄨𑄣𑄧𑄉𑄨।,Past
.অপচ কথা গুলো না হলে সহ্য হ না,𑄃𑄧𑄚𑄪 𑄇𑄧𑄙𑄠𑄚𑄴 𑄚𑄪𑄠 𑄦𑄧𑄣𑄬𑄠𑄮 𑄦𑄟𑄧𑄇𑄴 𑄚𑄧 𑄦𑄧𑄠𑄴।,Present
সে তাকে দেে বলে - ভালো কাজ নাই তো!,𑄖𑄬 𑄟𑄨𑄖𑄪𑄢𑄬 𑄘𑄬𑄃𑄨𑄚𑄬 𑄇𑄧𑄣𑄧 - 𑄉𑄧𑄟𑄴 𑄃𑄉𑄧𑄁𑄚𑄨 𑄚𑄬𑄃𑄨 𑄘𑄧 𑄛𑄪𑄏𑄢𑄴 𑄚𑄧 𑄉𑄧𑄢𑄴𑄣𑄬!,Present
সে ভালো আছে নাকি?,𑄖𑄬 𑄉𑄧𑄟𑄴 𑄃𑄉𑄧𑄌𑄴 𑄚𑄨 𑄚𑄬𑄃𑄨 ?,Present
অনুকুল মুখ করে কথা বলে সে,𑄃𑄧𑄚𑄪 𑄇𑄧𑄣𑄧 𑄟𑄪𑄃𑄨 𑄇𑄧𑄃𑄨𑄚𑄬 𑄃𑄃𑄨 𑄖𑄬 𑄃𑄧𑄠𑄴 !,Present
মেে কথা - তোমার খবর সব গুো করেছি,𑄟𑄨𑄖𑄪 𑄇𑄧𑄣𑄧 - 𑄖𑄧 𑄈𑄧𑄝𑄧𑄢𑄴 𑄚𑄧𑄚𑄖𑄴𑄪𑄚𑄴 𑄝𑄬𑄇𑄴 𑄝𑄬𑄇𑄴 𑄣𑄪𑄃𑄨𑄠𑄮𑄁।,Present
অনুকুল - সে আমার কথা শুনবে নাকি?,𑄃𑄧𑄚𑄪 𑄇𑄧𑄣𑄧 - 𑄖𑄬 𑄟𑄧 𑄟𑄪𑄠𑄧𑄚𑄴𑄘𑄨 𑄚𑄧 𑄥𑄪𑄚𑄨𑄝𑄬 𑄚?,Future
মিতু কথা গুলো ঘুরে বো-নেওা বলে-নেওা কথাগুলো বো বো,𑄟𑄨𑄖𑄪 𑄇𑄧𑄙𑄠𑄚𑄴 𑄊𑄪𑄢𑄬𑄚𑄬𑄃𑄨 𑄇𑄧𑄣𑄧 - 𑄚𑄬𑄖𑄎𑄨 𑄞𑄬𑄃𑄨 𑄘𑄧 𑄥𑄬𑄖𑄳𑄠 𑄇𑄧𑄙𑄚𑄨 𑄝𑄬𑄋 𑄝𑄬𑄋।,Present
ননদ-স্বামী মিলে কি কুাকুি করে হাসছে,𑄚𑄧𑄚𑄝𑄨𑄣𑄮𑄃𑄨 𑄟𑄨𑄖𑄪 𑄌𑄪𑄝𑄬𑄌𑄝𑄬 𑄇𑄨 𑄇𑄪𑄠 𑄇𑄨 𑄉𑄧𑄢𑄨 𑄟𑄨𑄙𑄬 𑄟𑄨𑄙𑄬𑄉𑄧𑄢𑄨 𑄦𑄏𑄨𑄣𑄇𑄴।,Present
বিালের সম যত হ তত ভালো লাগে,𑄝𑄬𑄣𑄧 𑄥𑄧𑄘𑄧𑄇𑄴 𑄇𑄢𑄴𑄇𑄎𑄳𑄠 𑄦𑄧𑄚𑄠𑄴 𑄡𑄬𑄘𑄧𑄇𑄴 𑄦𑄧𑄠𑄴 𑄃𑄪𑄟𑄴𑄌𑄎𑄳𑄠 𑄣𑄉𑄬𑄢𑄴।,Present
মেেকে একটি বিচি দিে বিচি দিল,𑄟𑄨𑄖𑄪 𑄃𑄧𑄚𑄪𑄢𑄬 𑄃𑄬𑄇𑄴𑄇𑄚𑄴 𑄝𑄨𑄎𑄮𑄚𑄴 𑄃𑄚𑄨 𑄘𑄨 𑄝𑄨𑄎𑄨 𑄘𑄨𑄣𑄧 𑄇𑄇𑄴𑄈𑄧𑄚𑄴।,Past
অনুকুল পরিস্থিতি - দিতে হবে না,𑄃𑄧𑄚𑄪 𑄇𑄧𑄣𑄧 - 𑄘𑄬 𑄚𑄧 𑄛𑄧𑄢𑄨𑄝𑄧।,Future
"মেে বাির ভিতরে যে দই আছে,সেটা নিে আসলো","𑄟𑄨𑄖𑄪 𑄊𑄧𑄢𑄧 𑄞𑄨𑄘𑄨𑄢𑄬 𑄡𑄬𑄃𑄨 𑄘𑄧𑄃𑄨 𑄃 𑄥𑄚𑄳𑄠𑄛𑄨𑄙, 𑄛𑄏𑄧𑄚𑄴 𑄃𑄚𑄨 𑄘𑄨𑄣𑄧।",Past
তিনজনে পিঠা খেে দই খেলো,𑄖𑄨𑄚𑄴 𑄎𑄧𑄚𑄬 𑄛𑄨𑄙𑄬 𑄈𑄬𑄃𑄨 𑄘𑄧𑄃𑄨 𑄈𑄬𑄣𑄇𑄴।,Past
.কেকদিন পরে মেেরা পৃথিবীতে যে গরম গরম পাখানা করেছে।,𑄇𑄇𑄴𑄈𑄧𑄚𑄴 𑄎𑄬𑄢𑄬 𑄟𑄨𑄖𑄪 𑄛𑄨𑄏𑄧𑄢𑄧𑄖𑄴 𑄡𑄬𑄃𑄨 𑄉𑄧𑄢𑄧𑄟𑄴 𑄉𑄧𑄢𑄧𑄟𑄴 𑄛𑄥𑄴𑄥𑄚𑄴 𑄍𑄧𑄠𑄚𑄴 𑄝𑄧𑄢 𑄛𑄨𑄙𑄬 𑄃𑄚𑄨𑄣𑄧𑄉𑄮𑄃𑄨।,Present
এক জাতী পিঠা,𑄝𑄧𑄢 𑄛𑄨𑄙𑄬 𑄈𑄬𑄣𑄇𑄴।,Present
রোদ অনেক গরম হেছে,𑄢𑄮𑄘𑄧 𑄥𑄧𑄘𑄧𑄇𑄴 𑄡𑄬𑄘𑄧𑄇𑄴 𑄦𑄧𑄠𑄴 𑄘𑄋𑄴𑄘𑄋𑄳𑄠 𑄉𑄧𑄢𑄨 𑄥𑄨𑄘𑄬𑄢𑄴।,Present
অনু কল-বিাল না হলে খাওা যাবে না,𑄃𑄧𑄚𑄪 𑄇𑄧𑄣𑄧 - 𑄝𑄬𑄣𑄳𑄠 𑄚𑄧 𑄦𑄧𑄣𑄬 𑄈 𑄚𑄧 𑄡𑄬𑄝𑄧 𑄃𑄢𑄴।,Future
মেে কথা বলতে বলতে রানুর বািতে যাবো,𑄟𑄨𑄖𑄪 𑄇𑄧𑄣𑄧 𑄇𑄧𑄇𑄴𑄈𑄬 𑄢𑄚𑄪𑄘𑄊𑄨 𑄊𑄧𑄢𑄧𑄖𑄴 𑄡𑄬𑄝𑄧𑄁।,Future
অনুকুল এই রোদ,𑄃𑄧𑄚𑄪 𑄇𑄧𑄣𑄧 𑄃𑄬 𑄢𑄮𑄘𑄧𑄟𑄠𑄴!,Present
মেে কল কি রোদ,𑄟𑄨𑄖𑄪 𑄇𑄧𑄣𑄧 𑄃 𑄇𑄨 𑄢𑄮𑄘𑄴।,Present
মিছিনি পাে তোমার ভাইের কান্না করবে একটু দেখে?,𑄟𑄨𑄉𑄨𑄚𑄨 𑄛𑄢𑄧𑄖𑄴 𑄖𑄧 𑄞𑄬𑄃𑄨𑄠𑄧𑄢𑄴 𑄇𑄚𑄴𑄘𑄧 𑄇𑄧𑄢𑄧𑄟𑄴 𑄃𑄬𑄇𑄴𑄇 𑄚𑄧 𑄌𑄬𑄝𑄬𑄉𑄧𑄃𑄨?,Future
আমার ভাইের কান্না করতে হবে,𑄟𑄧 𑄞𑄬𑄃𑄨𑄠𑄧𑄢𑄴 𑄇𑄚𑄴𑄘𑄧 𑄇𑄧𑄢𑄧𑄟𑄴 !,Future
অনুকুল পরিস্থিতি নানি হাত উঠালো,𑄃𑄧𑄚𑄪 𑄇𑄧𑄣𑄬 𑄚𑄧𑄚𑄝𑄨 𑄦𑄏𑄨 𑄃𑄪𑄙𑄨𑄣𑄧 ।,Past
মেেদের ন্যাে কল - যে গজটা ব হছে তা তো না,𑄟𑄨𑄖𑄪 𑄚𑄧𑄚𑄝𑄨𑄢𑄬𑄌𑄬𑄃𑄨𑄚𑄬 𑄇𑄧𑄣𑄧 - 𑄡𑄳𑄠𑄬𑄚𑄴 𑄉𑄧𑄎𑄳𑄠𑄚𑄴 𑄝𑄧𑄎𑄧𑄁 𑄘𑄧 𑄚𑄧𑄠𑄴।,Present
.নন্যে কল -আমি তো সেটা বলতেছি,𑄚𑄧𑄚𑄝𑄨 𑄇𑄧𑄣𑄧 - 𑄟𑄪𑄃𑄨𑄠𑄮 𑄘𑄧 𑄥𑄨𑄠𑄚𑄴 𑄇𑄧𑄋𑄧𑄖𑄴𑄬।,Present
অনু কল কি হেছে তো ভেঙে বলে না,𑄃𑄧𑄚𑄪 𑄇𑄧𑄣𑄧 𑄇𑄨 𑄦𑄪𑄠𑄬 𑄘𑄬 𑄞𑄋𑄨 𑄇𑄧 𑄚!,Present
মেে কলবেলের পাশ দিে গেলে বুঝা যা,𑄟𑄨𑄖𑄪 𑄇𑄧𑄣𑄧 𑄝𑄬𑄣𑄳𑄠 𑄟𑄨𑄉𑄨𑄚𑄨 𑄛𑄢𑄧𑄖𑄴 𑄉𑄬𑄣𑄬 𑄝𑄪𑄏𑄨 𑄛𑄢𑄨𑄝𑄬।,Present
.সকাল হেছে এমন কলগুলো ঠিক করতে হ,𑄇𑄇𑄴𑄈𑄧𑄚𑄴 𑄎𑄨𑄢𑄬𑄃𑄨 𑄇𑄧𑄣𑄧 𑄡𑄨𑄠𑄚𑄴 𑄉𑄧𑄎𑄳𑄠𑄧𑄚𑄴 𑄈𑄟𑄇𑄴𑄇𑄠𑄴 𑄝𑄃𑄨𑄚𑄨 𑄉𑄧𑄢 𑄛𑄧𑄢𑄬।,Present
অনুকুল পরিস্থিতি - তোমার কথা আমি সহ্য করতে পারছি না,𑄃𑄧𑄚𑄪 𑄇𑄧𑄣𑄧 - 𑄖𑄧𑄟 𑄇𑄧𑄙 𑄟𑄪𑄃𑄨 𑄟𑄳𑄦𑄬𑄖𑄴 𑄚𑄧 𑄛𑄋𑄧𑄢𑄴।,Present
মেে কল বিাল করলে মাংস পেে যাবে,𑄟𑄨𑄖𑄪 𑄇𑄧𑄣𑄧 𑄝𑄬𑄣𑄳𑄠 𑄉𑄬𑄣𑄬 𑄟𑄳𑄦𑄬𑄖𑄴 𑄛𑄬𑄝𑄬।,Future
অনু মনে মনে নিচ পর্যন্ত দেখতে পারতেছি না,𑄃𑄧𑄚𑄪 𑄟𑄧𑄚𑄬 𑄟𑄧𑄚𑄬 𑄖𑄧𑄣𑄬𑄃𑄨 𑄌𑄬𑄃𑄨 𑄃𑄪𑄘𑄨𑄌𑄴 𑄉𑄧𑄢𑄨 𑄚𑄧 𑄛𑄢𑄴𑄣𑄧।,Present
.অতিরিক্ত তার মা কথা গুলো এখানে তুলে দিল,𑄃𑄘𑄬𑄇𑄳𑄠𑄉𑄧𑄢𑄨 𑄖𑄟𑄴𑄟 𑄇𑄧𑄙𑄠𑄚𑄴 𑄃𑄩𑄙𑄮𑄖𑄴 𑄃𑄪𑄙𑄨𑄣𑄧 𑄝𑄛𑄴 𑄍 𑄛𑄪𑄖𑄴 𑄍।,Past
আর এখানে উঠার সম বাঁশটা কেটে নিতে হ,𑄃𑄢𑄧 𑄃𑄩𑄙𑄮𑄖𑄴 𑄃𑄪𑄙𑄨𑄨𑄣𑄧 𑄝𑄝𑄧 𑄝𑄨𑄘𑄳𑄠 𑄛𑄪𑄠𑄠𑄴 𑄛𑄠𑄴।,Present
মনে হ সেটা কি পরে যাবে,𑄟𑄧𑄚𑄬 𑄟𑄧𑄚𑄬 𑄞𑄝𑄬𑄢𑄴 𑄥𑄨𑄠𑄚𑄴 𑄇𑄨 𑄥𑄣𑄬 𑄎𑄪𑄚𑄪 𑄛𑄬𑄘𑄧 𑄡𑄢𑄴।,Future
.অপচে তার মা কথা গুলো আমার সাথে খা,𑄃𑄧𑄚𑄪 𑄟𑄪𑄎𑄪𑄋𑄬𑄘𑄨𑄨 𑄖𑄟𑄴𑄟 𑄇𑄧𑄠𑄴𑄘𑄬 𑄇𑄧𑄙𑄚𑄨 𑄃𑄟𑄨𑄎𑄬𑄃𑄨 𑄊𑄪𑄢𑄴𑄛𑄇𑄴 𑄈𑄢𑄴।,Present
সূর্য ডোবার সম,𑄝𑄬𑄣𑄴𑄎𑄪𑄢𑄧 𑄛𑄧𑄢𑄴𑄣𑄧।,Present
"অনু,মিে,স্বামী-স্ত্রী ঘুরে বোচ্ছে","𑄃𑄧𑄚𑄪, 𑄟𑄨𑄖𑄪, 𑄚𑄧𑄚𑄝𑄨 𑄃𑄘𑄟𑄴 𑄝𑄬𑄢 𑄣𑄟𑄨𑄣𑄇𑄴।",Present
এ বছর বিঝুর মানুষ নেই বললে চলে,𑄃𑄬 𑄝𑄧𑄏𑄧𑄢𑄴 𑄝𑄨𑄏𑄪𑄖𑄴 𑄟𑄚𑄪𑄌𑄴 𑄚𑄬𑄃𑄨 𑄇𑄧𑄣𑄬 𑄥𑄎𑄬।,Present
শুধু দুইটা বািতে মানুষ আসতেছে,𑄝𑄚 𑄘𑄨𑄠𑄚𑄴 𑄃𑄬𑄇𑄴𑄇𑄚𑄴 𑄊𑄧𑄢𑄧𑄖𑄴 𑄟𑄚𑄪𑄌𑄴 𑄃𑄬𑄖𑄴𑄖𑄧𑄚𑄴 𑄡𑄘𑄧𑄚𑄴।,Present
গিমসি করে বিঝু খা,𑄉𑄪𑄢𑄧𑄠𑄪𑄚𑄴 𑄎𑄧𑄙 𑄦𑄮𑄃𑄨 𑄝𑄨𑄏𑄪 𑄈𑄘𑄧𑄚𑄴।,Present
দুইজনে ঘুরে বো,𑄣𑄊𑄣𑄊 𑄘𑄨 𑄃𑄬𑄇𑄴𑄎𑄧𑄚𑄴 𑄝𑄬𑄢𑄘𑄧𑄚𑄴।,Present
রাত হলে বিঝুর পা করে হতে পারে,𑄢𑄬𑄃𑄨𑄖𑄴 𑄦𑄧𑄣𑄬 𑄝𑄨𑄏𑄪 𑄥𑄢𑄬 𑄛 𑄉𑄧𑄢𑄨 𑄦𑄮𑄃𑄨 𑄛𑄢𑄬।,Present
"অনু,মিঝু,নন্যেদের বািতে বিঝু খেলা","𑄃𑄧𑄚𑄪, 𑄟𑄨𑄖𑄪, 𑄚𑄧𑄚𑄝𑄨 𑄥𑄧𑄟𑄎𑄳𑄠 𑄊𑄧𑄢𑄧𑄖𑄴 𑄝𑄨𑄏𑄪 𑄈𑄬𑄣𑄇𑄴।",Present
দুই তিনটা বাি ঘুরে বোতে সূর্য ডুবলো,𑄘𑄨𑄠𑄚𑄴 𑄖𑄨𑄚𑄚𑄴 𑄊𑄧𑄢𑄴 𑄝𑄬𑄢𑄘𑄬 𑄝𑄬𑄢𑄘𑄬 𑄝𑄬𑄣𑄴 𑄓𑄪𑄝𑄨𑄣𑄧।,Past
.নন্যে কল রাত হলে তো আমি যেতে পারবো না,𑄚𑄧𑄚𑄝𑄨 𑄇𑄧𑄣𑄧 𑄢𑄬𑄃𑄨𑄖𑄴 𑄦𑄧𑄣𑄬 𑄘𑄬 𑄟𑄪𑄃𑄨 𑄡𑄬𑄃𑄨 𑄚𑄧 𑄛𑄢𑄨𑄟𑄴𑄝𑄬।,Future
মেে কল বিঝুর দিনে কি,𑄟𑄨𑄖𑄪 𑄇𑄧𑄣𑄧 𑄝𑄨𑄏𑄪 𑄘𑄨𑄚𑄧𑄖𑄴 𑄇𑄨।,Present
রাতের বেলা একদল লোক ঘুরে বোচ্ছে,𑄢𑄬𑄃𑄨𑄖𑄴 𑄥𑄧𑄁 𑄟𑄚𑄪𑄌𑄴 𑄝𑄬𑄢𑄚𑄴।,Present
নানি কলমাক দিে চিবিেছে তো,𑄚𑄧𑄚𑄝𑄨 𑄇𑄧𑄣𑄧 𑄟𑄘𑄊𑄨 𑄌𑄨𑄙𑄬 𑄉𑄧𑄢𑄨𑄝𑄇𑄴 𑄘𑄧।,Present
মিতু কথা শেষ না হওা পর্যন্ত ফোন করে যাওার আছে নাকি?,𑄟𑄨𑄖𑄪 𑄇𑄧𑄙 𑄗𑄪𑄟𑄴 𑄚𑄧 𑄦𑄧𑄘𑄬 𑄃𑄧𑄚𑄪 𑄇𑄧𑄣𑄧 𑄃𑄢𑄧 𑄇𑄪𑄚𑄴𑄘𑄨 𑄡𑄬𑄝𑄢𑄴 𑄃𑄊𑄬 𑄚𑄬 𑄚?,Present
মেেটা কোথা আর যাবে,𑄟𑄨𑄖𑄪 𑄇𑄧𑄣𑄧 𑄇𑄪𑄙𑄪 𑄃𑄢𑄴 𑄡𑄬𑄝𑄧𑄁।,Future
গাঙে একটুও ঘুরতে পারবো না!,𑄉𑄋𑄴𑄇𑄪𑄣𑄬 𑄃𑄬𑄇𑄴𑄇 𑄚𑄧 𑄝𑄬𑄢𑄬𑄝𑄧𑄁𑄉𑄧𑄃𑄨 𑄚𑄬!,Future
হেছে,𑄦𑄧𑄠𑄴𑄠𑄯 𑄥𑄳𑄠𑄬।,Present
গাঙে নৌকা বাইতে গেলে অনেক উপকার হবে,𑄉𑄋𑄴𑄇𑄪𑄣𑄬 𑄇𑄪𑄣𑄬 𑄝𑄬𑄢𑄘𑄬 𑄡𑄧𑄘𑄧𑄛𑄧𑄘𑄬 𑄉𑄧𑄟𑄴 𑄣𑄉𑄨𑄝𑄧।,Future
.অপচ কথা বললে তিন জনে জঙ্গলের মধ্য দিে রওনা দিল,𑄃𑄧𑄚𑄪 𑄇𑄧𑄙 𑄥𑄬𑄢𑄴 𑄛𑄧𑄢𑄴𑄣𑄬 𑄖𑄨𑄚𑄴𑄎𑄧𑄚𑄬 𑄉𑄋𑄴𑄇𑄪𑄣𑄧 𑄟𑄧𑄇𑄳𑄠 𑄣𑄧𑄢𑄴 𑄘𑄨𑄣𑄇𑄴।,Past
এখান থেকে শুধু মনটা ছটফট করতেছে,𑄃𑄨𑄚𑄴𑄘𑄨 𑄃𑄧𑄚𑄪 𑄟𑄧𑄚𑄚𑄴 𑄚𑄨𑄖𑄳𑄠𑄧 𑄙𑄪𑄉𑄪𑄖𑄴 𑄙𑄪𑄉𑄪𑄖𑄴 𑄉𑄧𑄢𑄬𑄢𑄴।,Present
তার স্ত্রী কি যে করতেছে,𑄖 𑄞𑄬𑄃𑄨𑄝𑄮 𑄇𑄨 𑄡𑄬 𑄉𑄧𑄢𑄴𑄣𑄧।,Present
চোখ বন্ধ না করলে বলা যা না,𑄌𑄮𑄉𑄬 𑄚𑄧 𑄘𑄬𑄣𑄬 𑄇𑄮𑄃𑄨 𑄛𑄢 𑄚𑄧 𑄡𑄠𑄴।,Present
গাঙের কূলে জুের পাগুলো ছিঁে যা,𑄉𑄋𑄴𑄇𑄪𑄣𑄬 𑄇𑄪𑄣𑄬 𑄎𑄪𑄢𑄧 𑄦𑄞 𑄍𑄨𑄘𑄨 𑄡𑄢𑄴।,Present
দুঃখকষ্ট দূর হেছে,𑄘𑄪𑄊𑄧 𑄇𑄨𑄃𑄨𑄠𑄳𑄠𑄬𑄖𑄴 𑄎𑄪𑄢𑄧 𑄜𑄪𑄘𑄬𑄢𑄴।,Present
অনুর্বর খুব ভালো লাগে,𑄃𑄧𑄚𑄪𑄢𑄴 𑄞𑄢𑄨 𑄉𑄧𑄟𑄴 𑄣𑄉𑄬𑄢𑄴।,Present
কদিন হেছে এই দিনগুলো হারিে গেছে,𑄇𑄧𑄠𑄴𑄘𑄨𑄚𑄴 𑄦𑄧𑄣𑄧 𑄃𑄬𑄎𑄚𑄴 𑄘𑄨𑄚𑄪𑄚𑄴 𑄖𑄢𑄴𑄖𑄪𑄚𑄴 𑄦𑄢𑄨 𑄝𑄨𑄘𑄨 𑄡𑄨𑄃𑄨𑄠𑄮𑄚𑄴।,Present
নদীর মোহনা আর যোগা হ না,𑄥𑄧𑄃𑄧𑄢𑄧𑄖𑄴 𑄃𑄬𑄎𑄚𑄴 𑄎𑄪 𑄚𑄧 𑄦𑄧𑄠𑄴।,Present
"গাি র, করলা, ধোঁা, মানুষদের জীবনে কোনো শান্তি নেই","𑄉𑄢𑄨 𑄢𑄧, 𑄇𑄧𑄢𑄧𑄣𑄨, 𑄙𑄪𑄟𑄮. 𑄟𑄚𑄴𑄎𑄮𑄢𑄴 𑄎𑄨𑄢𑄬𑄚𑄴 𑄚𑄬𑄃𑄨 𑄇𑄟𑄴𑄇𑄧𑄢𑄧𑄌𑄴 𑄟𑄚𑄴𑄎𑄮𑄢𑄴 𑄎𑄨𑄁𑄇𑄚𑄨𑄢𑄬 𑄥𑄧𑄝𑄮𑄚𑄴-𑄟𑄳𑄦𑄧𑄣𑄴𑄣 𑄘𑄧𑄇𑄴 𑄖𑄚𑄨 𑄖𑄚𑄨 𑄡𑄬𑄚𑄧 𑄈𑄬𑄘𑄧 𑄌𑄠𑄴।",Present
".সমান অচিন মাছরাঙার মুখের দিকে তাকালে মনটা কেমন যেন করে,কিছুই নেই","𑄥𑄧𑄥𑄉𑄧𑄢𑄴 𑄃𑄧𑄌𑄨𑄚𑄴 𑄟𑄚𑄴𑄎𑄮𑄢𑄴 𑄟𑄪 𑄟𑄚𑄬𑄃𑄨 𑄟𑄧𑄚𑄧𑄢𑄬 𑄃𑄟𑄨𑄎𑄬𑄃𑄨 𑄃𑄢𑄴𑄥𑄣𑄴𑄱𑄉𑄧𑄢𑄨 𑄟𑄬𑄠𑄳𑄠, 𑄇𑄨𑄢𑄴𑄝𑄳𑄠 𑄚𑄬𑄃𑄨 𑄉𑄧𑄢𑄬।",Present
বাির কাঁটাগুলো জঙ্গলের মধ্যে দিে হেঁটে যা,𑄊𑄧𑄢𑄨 𑄇𑄘𑄝𑄱𑄥𑄚𑄴 𑄟𑄚𑄴𑄎𑄮 𑄎𑄨𑄁𑄇𑄚𑄨𑄠𑄮 𑄑𑄨𑄇𑄴 𑄑𑄨𑄇𑄴 𑄉𑄧𑄢𑄨 𑄦𑄘𑄨 𑄡𑄠𑄴।,Present
"অনু,মেে,মিে,নানি পাে নেচে নেচে হাঁটছে","𑄃𑄧𑄚𑄪, 𑄟𑄨𑄖𑄪, 𑄚𑄧𑄚𑄝𑄨 𑄌𑄬𑄢𑄴 𑄇𑄬𑄃𑄨𑄖𑄴 𑄢𑄨𑄚𑄨 𑄌𑄬𑄃𑄨 𑄌𑄬𑄃𑄨 𑄦𑄘𑄧𑄘𑄧𑄚𑄴।",Present
দুইজনে গাঙে বাতি দিতে যাচ্ছে,𑄘𑄨 𑄃𑄬𑄇𑄴𑄎𑄧𑄚𑄴 𑄉𑄋𑄧𑄖𑄴 𑄝𑄖𑄴𑄖𑄨 𑄘𑄨𑄝𑄢𑄴 𑄡𑄘𑄧𑄚𑄴।,Present
.সা হওার সম একনাগাে,𑄥𑄌𑄴 𑄦𑄧𑄚 𑄇𑄃𑄨 𑄊𑄧𑄚𑄢𑄴𑄣𑄨।,Present
জুের ব ছেলে আরও যেন ব হে যায়,𑄎𑄪𑄢𑄧 𑄝𑄧𑄃𑄧 𑄠𑄚𑄴 𑄃𑄢𑄧 𑄡𑄬𑄚𑄬 𑄝𑄧𑄣𑄨 𑄦𑄮𑄃𑄨 𑄡𑄢𑄴।,Present
"আরও কত দূরে দেখা যা, গাঙের পাে কী যেন আছে",𑄃𑄢𑄧 𑄇𑄧𑄖𑄴𑄘𑄪𑄢𑄴 𑄃𑄬𑄃𑄨𑄚𑄬 𑄘𑄪𑄢𑄮𑄖𑄴 𑄘𑄬𑄊 𑄡𑄢𑄴 𑄉𑄋𑄴 𑄛𑄢𑄧𑄖𑄴 𑄇𑄬𑄃𑄨𑄟𑄴𑄝𑄮𑄃𑄨 𑄇𑄨 𑄡𑄬𑄚𑄬 𑄖𑄪𑄣𑄨 𑄖𑄧𑄣𑄬 𑄜𑄪𑄣𑄬 𑄛𑄘𑄠𑄴 𑄇𑄨 𑄡𑄬𑄚𑄬 𑄥𑄎𑄬𑄠𑄬।,Present
.অপচে পেে এগুলো কচুর কাজ,𑄃𑄧𑄚𑄪 𑄟𑄳𑄦𑄬𑄖𑄴 𑄛𑄬𑄣𑄧 𑄃𑄨𑄠𑄚𑄨 𑄎𑄪𑄚𑄪 𑄇𑄟𑄴।,Present
.অন্যের সাথে একটু মিশিে আসো - চা তোমার ভাইও করবে!,𑄎𑄬𑄢𑄬 𑄃𑄬𑄇𑄴𑄇 𑄇𑄃𑄨 𑄃𑄬𑄃𑄨𑄚𑄬 𑄟𑄨𑄖𑄪 𑄇𑄧𑄣𑄧 - 𑄌 𑄖𑄧 𑄞𑄬𑄃𑄨 𑄃𑄮 𑄇𑄧𑄢𑄧𑄟𑄴 !,Future
অনু একটু একটু করে আসা যাওা করলো,𑄃𑄧𑄚𑄪 𑄃𑄬𑄇𑄴𑄇 𑄇𑄃𑄨 𑄃𑄬𑄃𑄨𑄚𑄬 𑄢𑄨𑄚𑄨 𑄌𑄬𑄣𑄴।,Past
.সুগন্ধি ফুল,𑄥𑄪𑄢𑄴 𑄥𑄪𑄢𑄴 𑄉𑄧𑄢𑄨 𑄛𑄘𑄣𑄮𑄃𑄨 𑄚 𑄚 𑄝𑄝𑄧𑄖𑄳𑄠 𑄜𑄪𑄣𑄴।,Present
একটু নরম করে মাটিতে তুলে রাখলেন,𑄃𑄬𑄇𑄴𑄇 𑄃𑄧𑄎𑄧𑄣𑄴 𑄉𑄧𑄢𑄨 𑄟𑄘𑄨𑄖𑄴 𑄖𑄪𑄣𑄨 𑄗𑄪𑄠𑄮𑄚𑄴 ।,Past
