chakma,bangla
𑄛𑄬𑄊𑄮 𑄚𑄋𑄴,.পাখির নাা
"𑄝𑄬𑄣 𑄣𑄉, 𑄑𑄪𑄑𑄨𑄁, 𑄈𑄧𑄚𑄴𑄎𑄧𑄚𑄴, 𑄝𑄙𑄮𑄃𑄨, 𑄉𑄪𑄣𑄴𑄌𑄮𑄙𑄮𑄢𑄨, 𑄑𑄧𑄘𑄬𑄇𑄴, 𑄎𑄪𑄢𑄴𑄉𑄮𑄛𑄬𑄇𑄴, 𑄟𑄧𑄚, 𑄥𑄧𑄚, 𑄇𑄧, 𑄦𑄬𑄖𑄴𑄓𑄉, 𑄥𑄬𑄢𑄴, 𑄦𑄖𑄴𑄬𑄢𑄓, 𑄥𑄪𑄘𑄮𑄖𑄴𑄪𑄝𑄨, 𑄈𑄪𑄢𑄮𑄣𑄳𑄠, 𑄃𑄪𑄉𑄪𑄢𑄨𑄇𑄴, 𑄜𑄪𑄣𑄴𑄥𑄪𑄎𑄧𑄚𑄨, 𑄟𑄢𑄋, 𑄞𑄨𑄢𑄬𑄌𑄴, 𑄙𑄧𑄝𑄌𑄨𑄣𑄴, 𑄇𑄧𑄝, 𑄝𑄧𑄉, 𑄥𑄮𑄞𑄮𑄚𑄴, 𑄙𑄪𑄙𑄪𑄈𑄁, 𑄌𑄧𑄢𑄮𑄃𑄨, 𑄛𑄬𑄢, 𑄃𑄧𑄉𑄧𑄣𑄧𑄇𑄴, 𑄙𑄪𑄁𑄇𑄳𑄦𑄧, 𑄇𑄮𑄘𑄮𑄢𑄴, 𑄛𑄬𑄎, 𑄝𑄨𑄏𑄪𑄛𑄬𑄇𑄴 𑄖𑄩𑄙𑄨𑄛𑄬𑄇𑄴, 𑄥𑄧𑄚𑄖𑄴𑄖𑄣𑄨, 𑄢𑄧𑄋𑄴𑄢𑄋𑄴, 𑄗𑄉𑄪𑄢𑄴𑄛𑄬𑄇𑄴, 𑄇𑄮𑄉𑄨𑄣𑄴, 𑄇𑄪𑄠𑄳𑄠𑄬 𑄛𑄬𑄇𑄴, 𑄇𑄳𑄠𑄬𑄖𑄴𑄇𑄬𑄖𑄳𑄠, 𑄦𑄢𑄨𑄇𑄪𑄢𑄨","সূর্য অস্ত যাওার সম, টুটিং, টুটিং, টিক টিক, টিক টিক, টিক টিক, টিক টিক, টিক টিক, টিক টিক, টিক টিক, টিক টিক, টিক টিক"
𑄜𑄪𑄣𑄧 𑄚𑄋𑄴,ফুলের ন্যাকা
"𑄍𑄧𑄘𑄧𑄢𑄧𑄇𑄴, 𑄏𑄧𑄁𑄉, 𑄉𑄮𑄃𑄨, 𑄚𑄧𑄠𑄧𑄚𑄴𑄖𑄢, 𑄚𑄇𑄴𑄥𑄧, 𑄃𑄮𑄢𑄴, 𑄥𑄚𑄬𑄃𑄨, 𑄢𑄘𑄌𑄪𑄣𑄧, 𑄇𑄧𑄣𑄛𑄬𑄣𑄴, 𑄌𑄟𑄴𑄝, 𑄟𑄣𑄧𑄇𑄴𑄈𑄨𑄟, 𑄎𑄢𑄮𑄣𑄴, 𑄝𑄨𑄏𑄪, 𑄌𑄪𑄟𑄧, 𑄢𑄬𑄝𑄬𑄇𑄴, 𑄘𑄨𑄝𑄪𑄎𑄳𑄠, 𑄥𑄨𑄟𑄬𑄃𑄨, 𑄙𑄪𑄙𑄪𑄢𑄧, 𑄏𑄨𑄉𑄬, 𑄇𑄪𑄉𑄨, 𑄇𑄳𑄢𑄨𑄌𑄴𑄚𑄧𑄌𑄪𑄢, 𑄇𑄧𑄘𑄧𑄟𑄴, 𑄥𑄬𑄜𑄣𑄨, 𑄉𑄮𑄣𑄇𑄴, 𑄟𑄧𑄢𑄨𑄌𑄴, 𑄛𑄧𑄖𑄴𑄘𑄧, 𑄟𑄧𑄊𑄛𑄧𑄖𑄴𑄨, 𑄛𑄬𑄟, 𑄇𑄌𑄴𑄖𑄧 𑄘𑄧𑄉𑄧𑄢𑄴, 𑄣𑄮𑄋𑄴𑄜𑄪𑄣𑄴, 𑄇𑄧𑄎𑄧𑄜𑄪𑄣𑄴, 𑄞𑄖𑄴𑄎𑄧𑄢,","এক জাতী শাক,সুগন্ধি, শিমের রস, শিমের রস, শিমের রস, শিমের রস, শিমের রস, শিমের রস, শিমের রস, তামাকের রস, তামাকের রস, তামাকের রস, তামাকের রস, তামাকের রস, তামাকের রস, তামাকের রস, তামাকের রস"
"𑄃𑄟𑄴, 𑄇𑄖𑄴𑄗𑄮𑄣𑄴, 𑄇𑄧𑄟𑄧𑄣, 𑄇𑄧𑄣, 𑄇𑄧𑄚𑄴𑄘𑄣𑄴, 𑄣𑄬𑄟𑄪, 𑄝𑄮𑄢𑄮𑄃𑄨, 𑄣𑄨𑄎𑄪, 𑄉𑄮𑄠𑄬𑄟𑄴, 𑄝𑄘𑄟𑄴, 𑄝𑄧𑄢𑄉𑄪𑄣𑄧, 𑄦𑄧𑄖𑄳𑄠𑄣𑄴𑄉𑄪𑄣𑄧, 𑄓𑄬𑄟𑄧𑄣𑄴𑄉𑄪𑄣𑄧, 𑄝𑄢𑄧𑄖𑄴𑄧𑄉𑄪𑄣𑄧, 𑄇𑄪𑄎𑄪𑄟𑄴𑄉𑄪𑄣𑄧, 𑄃𑄟𑄢𑄉𑄪𑄣𑄧, 𑄝𑄬𑄣𑄴𑄉𑄪𑄣𑄧, 𑄇𑄮𑄉𑄪𑄣𑄧, 𑄝𑄧𑄖𑄴𑄖𑄉𑄪𑄣𑄧, 𑄌𑄮𑄢𑄴𑄝𑄬𑄇𑄴𑄉𑄪𑄣𑄧, 𑄛𑄨𑄣𑄬𑄉𑄪𑄣𑄧, 𑄇𑄘𑄟𑄧𑄣, 𑄥𑄟𑄨𑄚𑄨𑄉𑄪𑄣𑄧, 𑄛𑄧𑄖𑄴𑄨𑄋𑄴𑄉𑄪𑄣𑄧, 𑄇𑄧𑄢𑄧𑄋, 𑄃𑄪𑄣𑄪, 𑄃𑄧𑄜𑄧𑄣𑄴, 𑄎𑄟𑄴𑄝𑄨𑄎𑄨, 𑄖𑄧𑄢𑄴𑄟𑄮𑄌𑄴, 𑄟𑄢𑄴𑄟, 𑄥𑄨𑄚𑄴𑄘𑄨𑄢𑄬, 𑄎𑄧𑄉𑄧𑄚, 𑄛𑄳𑄢𑄬𑄎𑄁, 𑄛𑄧𑄇𑄴, 𑄛𑄢𑄋 𑄈𑄪𑄠𑄋𑄴 𑄝𑄨𑄎𑄨","১. আম, কলা, কলা, কলা, কলা, কলা, কেল, আম, কলা, কেল, কুাল, আওাজ, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, তামাক, কুুাাাাুা"
𑄟𑄏𑄧 𑄚𑄋𑄴,মাছ ধরার চাঁই
"𑄚𑄢𑄬𑄃𑄨, 𑄥𑄣𑄋𑄴, 𑄑𑄪𑄣𑄨𑄁, 𑄝𑄊𑄬𑄃𑄨, 𑄥𑄬𑄣𑄧𑄌𑄴, 𑄣𑄧𑄁𑄉𑄪, 𑄃𑄪𑄉𑄮𑄣𑄴, 𑄣𑄧𑄙, 𑄝𑄌𑄴𑄛𑄘, 𑄚𑄝𑄣𑄁, 𑄢𑄚𑄴𑄘𑄣𑄳𑄠, 𑄛𑄪𑄖𑄩, 𑄛𑄧𑄘, 𑄒𑄚𑄴𑄓, 𑄒𑄪𑄖𑄴𑄪𑄣𑄨𑄁, 𑄖𑄉𑄬𑄃𑄨, 𑄝𑄉𑄮𑄚𑄴, 𑄌𑄨, 𑄖𑄪𑄝𑄪𑄢𑄴, 𑄉𑄪𑄘𑄪𑄁, 𑄝𑄮𑄣𑄴, 𑄥𑄣𑄴, 𑄟𑄉𑄪𑄢𑄴, 𑄌𑄨𑄘𑄮𑄣𑄴, 𑄉𑄮𑄚𑄳𑄠, 𑄉𑄪𑄣𑄴𑄌𑄧, 𑄛𑄮𑄣𑄮𑄃𑄨, 𑄝𑄬𑄢𑄴𑄟, 𑄛𑄝𑄣, 𑄛𑄨𑄚𑄮𑄚𑄴𑄛𑄘, 𑄌𑄮𑄇𑄴𑄛𑄘, 𑄢𑄪𑄃𑄨, 𑄇𑄘𑄣𑄴, 𑄥𑄮𑄣𑄴, 𑄥𑄪𑄉𑄮𑄢𑄴, 𑄥𑄨𑄣𑄴, 𑄇𑄪𑄌𑄴𑄳𑄠, 𑄊𑄋𑄧𑄢𑄴, 𑄝𑄨𑄠𑄮𑄋𑄴, 𑄌𑄨𑄢𑄨𑄋𑄴","এক জাতী হরিণ, বুো, বুো, বুো, বুো, বুো, গুো, বুো, বুো, বুো, গুো, বুো, বুো, বুো, বুো, গুো, বুো, বুো, বুো, বুো, বুো, বুো, বুো, বুো, বুো, বুো, বুো, বুো,গুো,গুো, গুোো,"
𑄛𑄪𑄇𑄴-𑄎𑄪𑄇𑄴,পোকামাক
"𑄟𑄧𑄏, 𑄛𑄨𑄉𑄨𑄢𑄬, 𑄛𑄮𑄖𑄴𑄖𑄛𑄧𑄖𑄴𑄨, 𑄇𑄬𑄌𑄴𑄥𑄧, 𑄊𑄪𑄟𑄪𑄢𑄮, 𑄖𑄬𑄣𑄳𑄠𑄛𑄪𑄇𑄴, 𑄥𑄨𑄁𑄛𑄪𑄇𑄴, 𑄎𑄪𑄇𑄴, 𑄟𑄏𑄨, 𑄟𑄉𑄧𑄢𑄧𑄇𑄴, 𑄟𑄮𑄛𑄪𑄇𑄴, 𑄖𑄬𑄋𑄴𑄖𑄬𑄋𑄧𑄢𑄨, 𑄇𑄬𑄌𑄴𑄇𑄪𑄟𑄮𑄢𑄨, 𑄜𑄨𑄢𑄨𑄋𑄴, 𑄚𑄎𑄮𑄚𑄨𑄛𑄪𑄇𑄴, 𑄝𑄮𑄣𑄛𑄪𑄇𑄴, 𑄞𑄬𑄋𑄪𑄢𑄴𑄛𑄪𑄇𑄴, 𑄃𑄪𑄃𑄨𑄛𑄪𑄇𑄴, 𑄛𑄚𑄳𑄠𑄛𑄪𑄇𑄴, 𑄟𑄪𑄘𑄪𑄢𑄮𑄛𑄪𑄇𑄴, 𑄎𑄪𑄚𑄨𑄛𑄪𑄇𑄴, 𑄇𑄬𑄀𑄛𑄪𑄇𑄴, 𑄇𑄧𑄢𑄧𑄟𑄴𑄛𑄪𑄇𑄴, 𑄖𑄧𑄢𑄨𑄋𑄴𑄛𑄪𑄇𑄴, 𑄟𑄨𑄙𑄪𑄋𑄴𑄛𑄪𑄇𑄴, 𑄇𑄮𑄟𑄮𑄢𑄬𑄁𑄛𑄪𑄇𑄴, 𑄇𑄧𑄢𑄛𑄪𑄇𑄴, 𑄇𑄪𑄟𑄮𑄌𑄳𑄠𑄛𑄪𑄇𑄴, 𑄥𑄪𑄌𑄳𑄠𑄛𑄪𑄇𑄴, 𑄎𑄧𑄘𑄧𑄚, 𑄘𑄌𑄴, 𑄟𑄬𑄝𑄮, 𑄇𑄧𑄎𑄧, 𑄃𑄪𑄢𑄮𑄌𑄴, 𑄞𑄧𑄋𑄧𑄢, 𑄃𑄙𑄣𑄨, 𑄙𑄬𑄭𑄠𑄬, 𑄃𑄧𑄢𑄮𑄣𑄨, 𑄛𑄮𑄝𑄁, 𑄑𑄬𑄋𑄛𑄪𑄇𑄴, 𑄊𑄪𑄃𑄧𑄛𑄪𑄇𑄴, 𑄥𑄬𑄢𑄬𑄭𑄛𑄪𑄇𑄴, 𑄊𑄚𑄴𑄘𑄨𑄛𑄪𑄇𑄴, 𑄥𑄢𑄴𑄛𑄪𑄇𑄴, 𑄥𑄀𑄖𑄴,","এক জাতী শুকর, কুমাপুা, কুমাপুা, কুমাপুুক, উুপুুক, কুমাপুুক, কুমাপুুক, গুঁো, কুমাপুু, কুমাপুুক, কুমাপুুক, কুমাপুুক, কুমাপুুক, গুঁো, কুমাপুো, কুমারপুেপুাপুাপুা"
"𑄉𑄪𑄭, 𑄥𑄛𑄴, 𑄝𑄳𑄠𑄋𑄴, 𑄘𑄪𑄢𑄴, 𑄟𑄣𑄴𑄟𑄪𑄢𑄳𑄦𑄧, 𑄇𑄪𑄟𑄮𑄢𑄴, 𑄇𑄧𑄇𑄬𑄋𑄴, 𑄖𑄨𑄝𑄨𑄢𑄬𑄁 𑄉𑄪𑄭, 𑄥𑄟𑄧𑄣𑄧𑄇𑄴, 𑄑𑄪𑄛𑄴𑄑𑄪𑄝𑄨, 𑄟𑄉𑄧𑄢𑄧𑄇𑄴, 𑄌𑄬𑄢, 𑄉𑄬𑄢, 𑄥𑄟𑄪𑄇𑄴","বাচ্চা, সাপ,বু, কুমোর, কুমোর, কুা, কুা, কুা, কুা, কুা, কুা, কুা, কুা, কুা, কুা, কুা, কুা, কুা, কুা, কুা, কুা, গুো, কুা, কুা, কুা, কুা, কুু, কুা, কুা, কুা"
"𑄝𑄨𑄉𑄪𑄚𑄴, 𑄞𑄌𑄴𑄪𑄢𑄨, 𑄟𑄪𑄣𑄧, 𑄇𑄪𑄎𑄪, 𑄃𑄣𑄪, 𑄇𑄧𑄞𑄨, 𑄇𑄪𑄟𑄪𑄢𑄮, 𑄥𑄪𑄉𑄪𑄢𑄨𑄉𑄪𑄣𑄧, 𑄇𑄪𑄙𑄪𑄉𑄪𑄣𑄧, 𑄖𑄩𑄘𑄬𑄉𑄪𑄣𑄧, 𑄏𑄨𑄉𑄬, 𑄇𑄰𑄙𑄬, 𑄈𑄧𑄢𑄧𑄝𑄨𑄉𑄪𑄚𑄴, 𑄃𑄪𑄣𑄪, 𑄇𑄧𑄣𑄖𑄴𑄗𑄪𑄢𑄴, 𑄛𑄮𑄢𑄮𑄣𑄴, 𑄇𑄋𑄢𑄉𑄪𑄣𑄧, 𑄔𑄉𑄥𑄪𑄟𑄨, 𑄖𑄨𑄘𑄬 𑄝𑄬𑄉𑄮𑄣𑄴, 𑄃𑄟𑄨𑄣𑄬, 𑄛𑄪𑄎𑄮𑄇𑄴, 𑄟𑄬𑄠𑄬𑄥𑄇𑄴, 𑄔𑄨𑄋𑄨𑄥𑄇𑄴, 𑄣𑄬𑄣𑄧𑄚𑄴𑄛𑄘, 𑄎𑄋𑄣𑄳𑄠𑄥𑄇𑄴, 𑄥𑄨𑄉𑄮𑄚𑄴𑄥𑄇𑄴, 𑄥𑄟𑄴𑄪𑄃𑄪𑄣𑄴, 𑄉𑄌𑄴𑄃𑄪𑄣𑄴, 𑄈𑄧𑄇𑄴𑄇𑄬𑄋𑄴 𑄃𑄪𑄣𑄴, 𑄝𑄌𑄴𑄃𑄪𑄣𑄴, 𑄉𑄪𑄢𑄪𑄖𑄴𑄧𑄃𑄪𑄣𑄴, 𑄃𑄪𑄚𑄴𑄘𑄪𑄢𑄴𑄇𑄚𑄴𑄃𑄪𑄣𑄴, 𑄖𑄢, 𑄇𑄖𑄴𑄗𑄮𑄣𑄴𑄔𑄨𑄋𑄨, 𑄌𑄬𑄋𑄬𑄭𑄉𑄪𑄣𑄧","এক জাতী সবজি, আলু, কুমা, আলু, কুমা, কুমা, কুমা, আলু, কুমা, কুমা, কুমা, কুমা, আলু, কুমা, কুমা, কুমা, কুমা, কুমা, কুমা, কুমা, কুমা, কুমা, কুমা, কুমা, আলু, কচু, কুাকুাাাাা,"
𑄉𑄏𑄧 𑄚𑄋𑄴,গাছের নাি
"𑄝𑄧𑄖𑄴, 𑄥𑄇𑄴𑄉𑄮𑄚𑄴, 𑄉𑄧𑄌𑄴𑄎𑄧𑄁, 𑄉𑄟𑄢𑄨, 𑄌𑄨𑄝𑄨𑄖𑄴, 𑄃𑄟𑄴, 𑄇𑄖𑄴𑄗𑄮𑄣𑄴, 𑄥𑄟𑄨𑄚𑄨, 𑄇𑄪𑄟𑄴𑄝𑄮𑄃𑄨, 𑄥𑄬𑄝𑄢𑄮𑄎𑄨, 𑄝𑄨𑄢𑄨𑄌𑄴, 𑄇𑄮𑄢𑄮𑄃𑄨, 𑄌𑄇𑄴𑄇𑄱, 𑄞𑄘𑄨, 𑄥𑄮𑄢𑄴𑄝𑄬𑄇𑄴, 𑄇𑄬𑄖𑄴𑄳𑄢𑄋𑄴, 𑄝𑄧𑄖𑄴𑄖, 𑄝𑄢𑄧𑄖𑄴𑄧, 𑄎𑄢𑄮𑄣𑄴, 𑄖𑄬𑄘𑄮𑄠𑄬𑄍𑄧𑄢𑄨, 𑄛𑄉𑄮𑄌𑄴𑄳𑄠, 𑄟𑄮𑄚𑄴𑄦𑄧𑄚, 𑄛𑄨𑄙𑄬𑄇𑄧𑄣, 𑄚𑄇𑄴𑄥𑄧, 𑄟𑄧𑄘𑄧𑄚𑄴𑄟𑄮𑄖𑄴𑄳𑄠, 𑄛𑄮𑄝𑄮𑄚𑄴, 𑄃𑄧𑄌𑄴𑄎𑄳𑄠𑄋𑄴, 𑄉𑄪𑄢𑄴𑄉𑄪𑄖𑄳𑄠, 𑄇𑄟𑄢𑄁, 𑄖𑄬𑄘𑄮𑄃𑄨, 𑄝𑄮𑄠",".বত,সিদ্ধ,সিদ্ধ,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি, কুমা,মিষ্টি,মিষ্টি,মিষ্টি, কুমা, মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি, কুমা,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি, কুমা,মিষ্টি, কুমা,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,মিষ্টি,সুের ব,ব,পু,বো"
𑄝𑄏𑄧 𑄚𑄋𑄴,বাঁশের নালা
"𑄃𑄬𑄉𑄮𑄌𑄳𑄠, 𑄛𑄢𑄴𑄝𑄮, 𑄝𑄌𑄴𑄳𑄠, 𑄞𑄪𑄘𑄪𑄁, 𑄣𑄧𑄘𑄨, 𑄇𑄣𑄨𑄍𑄪𑄢𑄨, 𑄟𑄨𑄓𑄨𑄋𑄬, 𑄖𑄩𑄣𑄪, 𑄟𑄧𑄣𑄨, 𑄎𑄁, 𑄎𑄬𑄃𑄨, 𑄤𑄧𑄢, 𑄚𑄧𑄣𑄨, 𑄘𑄪𑄣𑄪","এগোা,পাওা,বাঁশি,মিচি,ঝিঝি,ওা,ওা,ওা,ওা,ওা,ওা,ওা,ওা,ওা,ওা,ওা,ওা,ওা,ওা,ওা,ওা,ওা,ওা"
𑄊𑄧𑄢𑄧 𑄚𑄋𑄴,বাির নাচ
"𑄝𑄢𑄨𑄎𑄬 𑄊𑄧𑄢𑄴, 𑄔𑄨𑄋𑄨𑄥𑄣𑄴, 𑄙𑄚𑄴𑄊𑄧𑄢𑄴, 𑄇𑄬𑄎𑄨𑄊𑄧𑄢𑄴, 𑄖𑄧𑄁 𑄊𑄧𑄢𑄴, 𑄇𑄪𑄢𑄳𑄦𑄧 𑄣𑄪𑄢𑄴, 𑄟𑄖𑄳𑄠 𑄊𑄧𑄢𑄴, 𑄛𑄇𑄴𑄇 𑄊𑄧𑄢𑄴, 𑄟𑄮𑄚𑄮 𑄊𑄧𑄢𑄴, 𑄉𑄪𑄢𑄪 𑄃𑄪𑄢𑄧, 𑄍𑄉𑄧𑄣𑄴 𑄊𑄧𑄢𑄴, 𑄈𑄧𑄣𑄴 𑄊𑄧𑄢𑄴, 𑄘𑄢𑄴𑄝𑄱 𑄊𑄧𑄢𑄴, 𑄎𑄪𑄟𑄴 𑄊𑄧𑄢𑄴, 𑄃𑄉𑄮𑄚𑄨𑄥𑄣𑄴, 𑄝𑄎𑄬𑄃𑄨, 𑄉𑄢𑄬𑄋𑄴, 𑄛𑄧𑄋𑄴𑄊𑄧𑄢𑄴, 𑄝𑄧𑄢𑄴𑄝𑄳𑄦𑄧 𑄝𑄎𑄬𑄃𑄨","বর্ষাকালের বাি, ঢিঙি বাি, ধান বাি, খাা বাি, গরু বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি, মহিষের বাি"
𑄊𑄧𑄢𑄧 𑄃𑄧𑄁𑄥𑄧,বাির ছিদ্র
"𑄟𑄪𑄣𑄴 𑄊𑄧𑄢𑄴, 𑄥𑄨𑄁𑄊𑄧𑄝, 𑄛𑄨𑄏𑄮𑄢𑄴, 𑄤𑄧𑄎𑄮𑄣𑄬𑄁, 𑄌𑄨𑄘𑄬𑄚𑄴, 𑄉𑄪𑄘𑄨, 𑄥𑄚, 𑄃𑄨𑄎𑄮𑄢𑄴, 𑄇𑄚𑄨𑄥𑄣𑄴, 𑄓𑄮𑄢𑄴, 𑄛𑄪𑄉𑄪𑄘𑄨 𑄇𑄚, 𑄞𑄮𑄢𑄴, 𑄥𑄣𑄴, 𑄃𑄪𑄖𑄴𑄧 𑄟𑄎, 𑄤𑄧𑄣𑄮𑄚𑄴 𑄥𑄣𑄴, 𑄎𑄪𑄢𑄴𑄉𑄮, 𑄝𑄬𑄢𑄴, 𑄇𑄧𑄝𑄴, 𑄌𑄋𑄪 𑄘𑄮𑄢𑄴, 𑄖𑄌𑄴𑄌𑄮𑄣𑄴, 𑄈𑄨𑄢𑄴𑄉𑄬, 𑄦𑄟𑄧𑄖𑄴𑄧𑄣𑄴, 𑄥𑄋𑄪, 𑄃𑄣𑄴𑄥𑄨𑄠𑄬",".মূল বাি, সিঙ্গারা, সিঙ্গারা, আওাজ, সুর, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল, তাল,বুবাু,সুু,সু"
𑄝𑄘𑄳𑄠𑄡𑄧𑄚𑄴𑄖𑄳𑄢𑄧,এক জাতী বাদ্যযন্ত্র
"𑄖𑄧𑄝𑄧𑄣, 𑄝𑄎𑄨, 𑄥𑄨𑄋, 𑄥𑄧𑄁𑄈𑄧, 𑄔𑄪𑄣𑄴, 𑄈𑄬𑄁𑄉𑄧𑄢𑄧𑄁, 𑄦𑄢𑄴𑄟𑄧𑄚𑄨, 𑄝𑄬𑄣, 𑄙𑄪𑄙𑄪𑄇𑄴, 𑄉𑄧𑄎𑄨𑄚, 𑄃𑄬𑄇𑄴𑄖𑄢","তবলা, সিঙা, ঢোল, খেংরং, খেংরং, হাওারং, তবলা, একতারা, একতারা"
𑄃𑄧𑄌𑄴𑄖𑄧-𑄃𑄧𑄣𑄧𑄋𑄴𑄇𑄢𑄴,এক জাতী অলংকার
"𑄚𑄇𑄴𑄜𑄪𑄣𑄴, 𑄇𑄚𑄴𑄜𑄪𑄣𑄴, 𑄇𑄧𑄎𑄧𑄜𑄪𑄣𑄴, 𑄚𑄧𑄇𑄴𑄇𑄧𑄖𑄴𑄖𑄧𑄢𑄧, 𑄎𑄮𑄟𑄴𑄝𑄮𑄣𑄨, 𑄇𑄬𑄝, 𑄑𑄬𑄋𑄍𑄧𑄢, 𑄦𑄣𑄴𑄍𑄧𑄢, 𑄛𑄨𑄎𑄨𑄍𑄧𑄢, 𑄦𑄎𑄧𑄣𑄨, 𑄚𑄬𑄉𑄬𑄣𑄬𑄌𑄴, 𑄃𑄚𑄴𑄘𑄨𑄇𑄴, 𑄖𑄌𑄴𑄎𑄮𑄢𑄴, 𑄝𑄣𑄦𑄢𑄪, 𑄝𑄋𑄪𑄢𑄨, 𑄦𑄬𑄘𑄧𑄘𑄙𑄧 𑄝𑄣, 𑄒𑄬𑄋𑄧𑄖𑄴𑄦𑄢𑄪, 𑄏𑄪𑄋𑄴𑄉𑄮, 𑄌𑄨𑄖𑄴𑄍𑄧𑄢, 𑄝𑄧𑄉 𑄉𑄟𑄴𑄎, 𑄇𑄟𑄮𑄢𑄴𑄛𑄨𑄌𑄴",".নাক ফুল, কানের ফুল, নাকের ফুল, নাকের ফুল, পাহাের ফুল, পাহাের ফুল, পাহাের ফুল, পাহাের ফুল, /n Filtering device, /n Filtering device"
𑄃𑄪𑄢𑄮𑄚𑄴-𑄛𑄨𑄚𑄮𑄚𑄴,উো পিনোন
"𑄛𑄨𑄚𑄮𑄚𑄴, 𑄈𑄘𑄨, 𑄝𑄬𑄣𑄃𑄪𑄌𑄴, 𑄈𑄧𑄝𑄧𑄋𑄴, 𑄉𑄘𑄮𑄚𑄨𑄇𑄚𑄨, 𑄎𑄪𑄟𑄴𑄟𑄮 𑄥𑄨𑄣𑄪𑄟𑄴, 𑄙𑄪𑄙𑄨, 𑄖𑄬𑄚𑄳𑄠𑄇𑄚𑄨, 𑄛𑄬𑄚𑄴𑄘𑄧𑄣𑄧𑄋𑄴, 𑄉𑄚𑄴𑄎𑄇𑄚𑄨, 𑄦𑄖𑄴𑄇𑄝𑄧𑄢𑄴, 𑄥𑄌𑄴𑄇𑄝𑄧𑄢𑄴, 𑄌𑄪𑄣𑄧𑄜𑄨𑄘𑄳𑄠, 𑄜𑄢𑄧𑄖𑄴𑄘𑄧𑄢𑄨, 𑄇𑄧𑄟𑄧𑄢𑄴𑄛𑄨𑄖𑄴","পিনন,খাওা,খাওা,পাহাি,খাওা,পাহাি,ফ্যান,হাত কাপ,পাহাের কাপ,হাতের কাপ,হাতের কাপ,হাতের কাপ,হাতের কাপ,হাতের কাপ,হাতের কাপ,হাতের কাপ,হাতের কাপ, কাপের কাপ,হাতের কাপ,হাতের কাপ,হাতের কাপ,হাতের কাপ"
𑄝𑄏𑄧𑄢𑄴 𑄝𑄪𑄚𑄧𑄇𑄘,বাঁশের বোনা
