Fourth Division,First Division
৮১২০. আমগুলো পুরোপুরি শিথিল হয়ে গেছে,𑄹. 𑄃𑄟𑄳𑄦𑄪𑄚𑄴 𑄉𑄧𑄘 𑄛𑄬𑄘𑄬𑄠𑄬
৮১২১. কাঁঠাল টা শিথিল হয়ে গেছে,𑄇𑄖𑄴𑄗𑄮𑄣𑄴𑄣𑄮 𑄛𑄬𑄘𑄬𑄠𑄬𑅁
"৮১২২. প্যান্ট পরে স্কুলে যেতে হয়, লাঙ্গোট পড়ে নয়।","𑄛𑄬𑄚𑄴𑄘𑄧𑄣𑄧𑄁 𑄛𑄨𑄚𑄳𑄦𑄨 𑄃𑄨𑄇𑄴𑄇𑄪𑄣𑄮𑄖𑄴 𑄎 𑄛𑄧𑄢𑄬, 𑄖𑄨𑄚𑄴𑄐𑄬 𑄇𑄚𑄨 𑄛𑄨𑄚𑄳𑄦𑄨 𑄚𑄳𑄦𑄧𑄠𑄴"
"৮১২৩. লম্বা প্যান্ট, খাটো প্যান্ট আছে তো","𑄣𑄟𑄴𑄝 𑄛𑄬𑄚𑄴𑄘𑄧𑄣𑄧𑄁, 𑄝𑄙𑄨 𑄛𑄬𑄚𑄴𑄘𑄧𑄣𑄧𑄁 𑄃𑄊𑄧𑄚𑄴 𑄘𑄧𑅁"
8124,𑄛𑄬𑄢 𑄝𑄳𑄦𑄃𑄪𑄚𑄴 𑄣𑄟𑄴𑄝 𑄣𑄟𑄴𑄝 𑄉𑄧𑄢𑄳𑄦𑄨𑅁
৮১২৫. বজ্র গর্জন,𑄘𑄬𑄝 𑄛𑄬𑄢𑄇𑄴
তেল নিংড়ে নেওয়া,𑄖𑄬𑄣𑄴 𑄛𑄬𑄢𑄬 𑄣𑄧𑄚𑄳𑄦𑅁
৮১২৭. ময়লা ঘষা,𑄛𑄬𑄢𑄴𑄉 𑄘𑄧𑄣𑄚
"৮১২৮. শরীরের ময়লা দূর হয় গোসল করলে, আর মনের ময়লা দূর হয় দান, শীল, ভাবনা করলে","𑄇𑄨𑄠𑄬 𑄛𑄬𑄢𑄴𑄉 𑄎𑄭𑄘𑄬 𑄉𑄘𑄨𑄣𑄳𑄦𑄬, 𑄟𑄧𑄚𑄧 𑄛𑄬𑄢𑄴𑄉 𑄎𑄭𑄘𑄬 𑄘𑄚𑄴, 𑄥𑄨𑄣𑄴 𑄞𑄝𑄧𑄚 𑄉𑄧𑄣𑄴𑄣𑄳𑄦𑄬"
৮১২৯. শরীর ঘষাঘষি করলে শুধু ময়লা বের হয়,𑄇𑄨𑄠𑄬𑄃𑄳𑄦𑄚𑄴 𑄘𑄧𑄣𑄨𑄣𑄬 𑄎𑄬 𑄛𑄬𑄢𑄴𑄉 𑄚𑄳𑄦𑄨𑄉𑄨𑄣𑄬 𑄘𑄧
৮১৩৫. অশান্তি /দুশ্চিন্তা/ ঝামেলা /বিরক্তি দেওয়া,"𑄛𑄬𑄢𑄬𑄥𑄚𑄨 𑄘𑄬𑄚, 𑄈𑄝𑄚"
৮১৩৬. সে তার মা'কে বেশিই বিরক্তি করে,𑄖𑄬 𑄃𑄧𑄟𑄧𑄉𑄧𑄘𑄧 𑄖𑄟𑄴𑄟𑄢𑄳𑄦𑄬 𑄛𑄬𑄢𑄬𑄥𑄚𑄨 𑄈𑄝𑄭𑅁
৮১৩৭. সম্পূর্ণ পানি উপচে পড়ছে,𑄉𑄧𑄘 𑄛𑄬𑄣𑄁 𑄝𑄳𑄦𑄬 𑄛𑄧𑄢𑄬𑄣𑄴𑄣𑄮𑄠𑄴 𑄛𑄚𑄳𑄦𑄨𑄃𑄚𑄴
"৮১৩৮. পাতলা থেকে পানি উপচে পড়ছে, তবুও সে ঢালতেছে","𑄛𑄨𑄣𑄬𑄞𑄮 𑄞𑄧𑄢𑄨 𑄞𑄢𑄭 𑄛𑄬𑄣𑄁 𑄝𑄳𑄦𑄬 𑄛𑄧𑄢𑄬𑄣𑄴𑄣𑄮𑄠𑄴, 𑄖𑄬 𑄖𑄪𑄃𑄳𑄦𑄮 𑄙𑄣𑄬𑄖𑄴𑄖𑄬 𑄙𑄣𑄬𑄢𑄴𑅁"
৮১৩৯. উপচে পড়া,𑄛𑄬𑄣𑄁 𑄝𑄳𑄦𑄬 𑄛𑄧𑄢𑄚
৮১৪০. পানিটা সম্পূর্ণ উপচে পড়ছে,𑄛𑄚𑄳𑄦𑄨𑄃𑄚𑄴 𑄉𑄧𑄘 𑄛𑄬𑄣𑄁 𑄝𑄳𑄦𑄬 𑄛𑄧𑄢𑄬𑄣𑄴𑄣𑄮𑄠𑄴𑅁
"৮১৪৯. পানি সম্পূর্ণ ঢলঢলে হয়েছে, ভরছে ,","𑄛𑄚𑄳𑄦𑄨 𑄉𑄧𑄘 𑄛𑄬𑄣𑄬𑄛𑄬𑄣𑄬 𑄦𑄪𑄠𑄳𑄦𑄬, 𑄞𑄧𑄌𑄴𑄎𑄬𑄘𑄳𑄦𑄬, 𑄈𑄇𑄴𑄇𑄬 𑄛𑄬𑄣𑄁 𑄝𑄳𑄦𑄬 𑄛𑄧𑄢𑄨𑄝𑄮𑄉𑄮𑄠𑄴"
৮১৫০. কলসিতে এতো ঢলঢলে করে পানি নিয়েছো কেন?,𑄈𑄪𑄟𑄴𑄟𑄳𑄦𑄮 𑄇𑄨 𑄥𑄬𑄘𑄧𑄇𑄴 𑄛𑄬𑄣𑄬𑄛𑄬𑄣𑄬 𑄉𑄧𑄢𑄳𑄦𑄨 𑄞𑄧𑄌𑄴𑄍𑄮𑄌𑄴?
৮১৫১. প্যান্ট জামা,𑄛𑄳𑄦𑄬𑄚𑄴 – 𑄥𑄪𑄣𑄪𑄟𑄴
"৮১৫২. তার প্যান্টটা খুলে যাচ্ছে, ভালো করে পর","𑄖𑄧 𑄛𑄳𑄦𑄬𑄚𑄴𑄚𑄮 𑄈𑄮𑄉𑄬 𑄎𑄣𑄴𑄣𑄮𑄠𑄴, 𑄉𑄧𑄟𑄬 𑄛𑄨𑄚𑄴"
৮১৫৩. অর্ধ পায়জামা/ লম্বা প্যান্ট,"𑄈𑄛𑄴 𑄛𑄳𑄦𑄬𑄚𑄴, 𑄜𑄪𑄣𑄴 𑄛𑄳𑄦𑄬𑄚𑄴"
প্যান্ট টা আঁটসাঁট/ ঢিলেঢালা,𑄛𑄳𑄦𑄬𑄚𑄴𑄚𑄮 𑄌𑄨𑄝𑄬𑄌𑄨𑄛𑄴𑄛𑄬/ 𑄙𑄪𑄣𑄪𑄁𑄙𑄣𑄁 𑄦𑄪𑄠𑄳𑄦𑄬
৮১৫৫. প্যান্ট আর জামায় এক পোশাক ,𑄛𑄬𑄚𑄳𑄦𑄬 𑄥𑄪𑄣𑄪𑄟𑄬 𑄃𑄬𑄇𑄴 𑄘𑄬𑄢𑄬𑄌𑄴𑅁
"কাল হলে সে গাঙে যেতো,হেঁসে হেঁসে কলসিটা কোমরে নিতো","𑄝𑄨𑄚𑄴𑄐𑄳𑄦𑄬 𑄛𑄰𑄱𑄖𑄴𑄗𑄬 𑄦𑄧𑄣𑄬 𑄉𑄋𑄧𑄖𑄴 𑄎𑄬𑄘𑄧 𑄖𑄬, 𑄦𑄎𑄨 𑄦𑄎𑄨 𑄈𑄪𑄟𑄴𑄟𑄮 𑄇𑄧𑄢𑄳𑄦𑄧𑄖𑄴 𑄣𑄧𑄙𑄧 𑄖𑄬"
"সকাল হয়ে এসেছে,সবাই শব্দ করতেছে","𑄛𑄰𑄱𑄖𑄴𑄗𑄬 𑄃𑄟𑄧𑄣𑄴 𑄛𑄪𑄌𑄴𑄏𑄬𑄉𑄨, 𑄛𑄬𑄇𑄴𑄇𑄪𑄚𑄳𑄦𑄬 𑄇𑄧𑄣𑄳𑄦𑄧𑄇𑄣𑄳𑄦 𑄉𑄧𑄖𑄴𑄗𑄧𑄚𑄴𑅁"
প্রথম প্রথম আমরা একটু লজ্জাবোধ করতাম,"𑄛𑄰𑄱𑄣𑄴𑄣𑄳𑄦𑄬 𑄛𑄰𑄱𑄣𑄴𑄣𑄳𑄦𑄬 𑄃𑄟𑄳𑄦𑄨 𑄃𑄬𑄇𑄴𑄇 𑄣𑄎𑄬𑄘𑄧𑄁, 𑄃𑄨𑄇𑄴𑄈𑄪 𑄦𑄧𑄣𑄬 𑄚𑄧 𑄣𑄎𑄬𑄠𑄴 𑄃𑄳𑄦𑄢𑄴 𑄇𑄧𑄙 𑄇𑄧𑄙𑄬𑅁"
ফাঁকে নেয়া/ঢুকানো/ঢুকা,𑄜𑄉𑄧𑄖𑄴 𑄣𑄧𑄚/𑄞𑄧𑄢𑄚/𑄥𑄧𑄟𑄚
"তাকে আমরা সাথে নিবোনা,সে শুধু ঝগড়া করে","𑄖𑄢𑄳𑄦𑄬 𑄃𑄟𑄳𑄦𑄨 𑄜𑄉𑄧𑄖𑄴 𑄚𑄧 𑄣𑄧𑄞𑄧𑄁, 𑄖𑄬 𑄝𑄚 𑄇𑄪𑄌𑄴𑄎𑄬 𑄝𑄎𑄭𑄙𑄳𑄠𑄬"
"তারা আমাকেও সাথে নিতে চেয়েছে,কিন্তু আমি তাদের সাথে যায়নি","𑄖𑄢𑄳𑄦 𑄟𑄧𑄢𑄳𑄦𑄬𑄠𑄮 𑄜𑄉𑄧𑄖𑄴 𑄞𑄧𑄢𑄬𑄝𑄢𑄴 𑄌𑄳𑄦𑄨𑄠𑄮𑄚𑄴, 𑄈𑄣𑄨𑄇𑄴 𑄟𑄪𑄠𑄴 𑄖𑄢𑄳𑄦 𑄜𑄉𑄧𑄖𑄴 𑄚𑄳𑄦𑄧 𑄥𑄧𑄟𑄧𑄁"
"তাদের সংঘদানে আমরাও ঢুকলাম,সবাই মিলে পূণ্য কাজ করলাম","𑄖𑄢𑄳𑄦 𑄌𑄧𑄁𑄉𑄧𑄘𑄚𑄧𑄖𑄴 𑄃𑄟𑄳𑄦𑄨𑄠𑄮 𑄥𑄮𑄟𑄬𑄣𑄧𑄁, 𑄝𑄬𑄊𑄬 𑄟𑄨𑄣𑄨𑄚𑄬𑄠𑄴 𑄛𑄪𑄚𑄴𑄐𑄮 𑄇𑄟𑄴 𑄉𑄧𑄣𑄴𑄣𑄳𑄦𑄧𑄁"
"সবাই একই দলে,তুমি কেন আলাদা হয়েছো?","𑄝𑄬𑄇𑄴𑄈𑄪𑄚𑄴 𑄃𑄬𑄇𑄴 𑄜𑄉𑄧𑄖𑄴, 𑄖𑄪𑄠𑄴 𑄇𑄨𑄖𑄴𑄗𑄬𑄠𑄴 𑄎𑄧𑄉𑄧𑄘𑄁 𑄦𑄪𑄠𑄳𑄦𑄮𑄌𑄴?"
পাকাপাকিভাবে/মন দিয়ে,𑄜𑄇𑄴𑄜𑄇𑄴𑄇𑄬 – 𑄚𑄨𑄟𑄴𑄟𑄳𑄦𑄮
"পাকাপাকিভাবে মাছ মারে,খালি করে আসে,মন দিয়ে মাছ মারে,জায়গা ভর্তি আনে।","𑄜𑄇𑄴𑄜𑄇𑄴𑄇𑄬 𑄟𑄌𑄴 𑄟𑄢𑄬, 𑄌𑄪𑄙𑄮 𑄦𑄭𑄖𑄴𑄖𑄬 𑄃𑄬𑄏𑄬, 𑄚𑄨𑄟𑄴𑄟𑄳𑄦𑄮 𑄟𑄌𑄴 𑄟𑄢𑄬, 𑄘𑄪𑄣𑄮 𑄞𑄧𑄢𑄬 𑄃𑄚𑄳𑄦𑄬"
"সে বকবক করা মানুষ তো,হুট করে বলতে পারে","𑄥𑄨𑄝𑄳𑄦𑄬 𑄃𑄧𑄟𑄧𑄉𑄧𑄘𑄧 𑄜𑄇𑄴𑄜𑄇𑄴𑄇𑄬 𑄟𑄪 𑄙𑄧, 𑄈𑄇𑄴𑄇𑄳𑄦𑄬 𑄇𑄳𑄦𑄮 𑄖𑄋𑄧𑄢𑄬"
"তার মুখটা বকবকে,যেটা দেখে সেটা বলতে হয়","𑄖 𑄟𑄪𑄃𑄳𑄦𑄚𑄴 𑄃𑄧𑄟𑄧𑄉𑄧𑄘𑄧 𑄜𑄇𑄴𑄜𑄇𑄴𑄇𑄬, 𑄎𑄨𑄠𑄳𑄦𑄬𑄚𑄴 𑄘𑄬𑄊𑄬, 𑄥𑄨𑄠𑄳𑄦𑄬𑄚𑄴 𑄇𑄳𑄦𑄮 𑄛𑄳𑄦𑄠𑄴𑅁"
গাছের ফাঁকা,𑄉𑄏𑄧 𑄜𑄉
সে কোন গাছের ফাঁকায় বসে আছে,𑄖𑄬 𑄇𑄧𑄚𑄴 𑄉𑄏𑄧 𑄜𑄉𑄖𑄴 𑄝𑄏𑄨 𑄃𑄉𑄬𑄊𑄮𑄠𑄴
ফাঁকি দেয়া,𑄜𑄉𑄢 𑄉𑄧𑄢𑄚𑄳𑄦
ফাঁকি টাংকি,𑄜𑄉𑄢 𑄚𑄉𑄢𑄳𑄦
চিটিংবাজ হওয়া,𑄜𑄉𑄢 𑄦𑄧𑄚
ফাঁকি দেয়া আমি একদম দেখতে পারিনা,𑄜𑄉𑄢 𑄉𑄧𑄢𑄚𑄳𑄦 𑄟𑄪𑄠𑄴 𑄃𑄬𑄇𑄴𑄈𑄬 𑄘𑄳𑄦𑄬 𑄚𑄧 𑄛𑄢𑄧𑄁𑄉𑄬
চিটিংবাজ করে অন্যর টাকা মেরে কয়দিন আর থাকা যায়,𑄜𑄉𑄢 𑄚𑄉𑄢𑄳𑄦 𑄉𑄧𑄢𑄳𑄦𑄨 𑄟𑄚𑄴𑄏𑄮 𑄖𑄬𑄋 𑄟𑄢𑄨 𑄈𑄬 𑄘𑄨 𑄘𑄨 𑄇𑄧𑄠𑄴𑄙𑄨𑄚𑄴 𑄈𑄬𑄝𑄧 𑄃𑄭
ধার নিয়ে সময়মতো টাকা সৌধ করতে না পারলে তো চিটিংবাজ বলতে হবে,𑄃𑄪𑄙𑄮𑄢𑄴 𑄣𑄮𑄚𑄬𑄠𑄴 𑄃𑄧𑄇𑄴𑄗𑄧 𑄟𑄪𑄎𑄨𑄟𑄴 𑄖𑄬𑄋𑄃𑄳𑄦𑄪𑄚𑄴 𑄥𑄪𑄎𑄳𑄦𑄨 𑄚𑄧 𑄛𑄣𑄴𑄣𑄬 𑄙𑄧 𑄜𑄉𑄢 𑄦𑄮 𑄛𑄧𑄢𑄨𑄝𑄮
শুধু শুধু চিটিংবাজ হলাম তার সাথে,𑄌𑄪𑄙𑄮 𑄌𑄪𑄙𑄮 𑄜𑄉𑄢 𑄦𑄪𑄣𑄪𑄁𑄉𑄬 𑄖𑄣𑄴𑄣𑄮𑄠𑄴𑅁
কোদাল দিয়ে মাটি খোদায় করা যায়,𑄜𑄉𑄢𑄣𑄮𑄠𑄴 𑄟𑄘𑄨 𑄇𑄮𑄘𑄮𑄣𑄬 𑄛𑄢𑄬
বড়/ছোট কোদাল,𑄘𑄋𑄳𑄦𑄧𑄢𑄴/ 𑄌𑄨𑄉𑄮𑄚𑄴 𑄜𑄉𑄢𑄳𑄦
কোদালের মুখ,𑄜𑄉𑄢𑄳𑄦 𑄟𑄪𑅁
ফাঁকি দেয়া/করে দেয়া,"𑄷. 𑄜𑄉𑄨 𑄉𑄧𑄢𑄚𑄳𑄦, 𑄉𑄧𑄢𑄳𑄦𑄨 𑄘𑄬𑄚"
"তোমাকে কবে আমি মাংস ভক্ষণ করে দিই,ঘুরিও না বললেও ঘুরো।","𑄖𑄧𑄢𑄳𑄦𑄬 𑄟𑄪𑄠𑄴 𑄇𑄧𑄟𑄧𑄣𑄬 𑄦𑄬𑄢 𑄜𑄉𑄨 𑄉𑄧𑄢𑄳𑄦𑄨 𑄘𑄮𑄁 𑄙𑄧, 𑄚𑄧 𑄝𑄬𑄢𑄬𑄌𑄴 𑄇𑄧𑄣𑄳𑄦𑄬 𑄖𑄳𑄦𑄮 𑄝𑄬𑄢𑄌𑄴𑄌𑄬"
ফাঁকি দেয়া /মারা,𑄸. 𑄜𑄉𑄨 𑄘𑄬𑄚/𑄟𑄢𑄚
সে স্কুল ফাঁকি দিতে দিতে অভ্যস্ত হয়ে গেছে,𑄥𑄨𑄝𑄳𑄦𑄬 𑄃𑄨𑄇𑄴𑄇𑄪𑄣𑄴 𑄜𑄉𑄨 𑄘𑄨𑄘𑄨 𑄃𑄇𑄴𑄇𑄳𑄠𑄬𑄁 𑄦𑄪𑄠𑄬𑄘𑄳𑄦𑄬𑅁
এই গুড়োটা পানিতে মিশিয়ে খেয়ে নিও,𑄃𑄬 𑄜𑄉𑄪𑄃𑄳𑄦𑄚𑄴 𑄛𑄚𑄳𑄦𑄨𑄖𑄴 𑄉𑄪𑄣𑄨𑄚𑄬𑄠𑄴 𑄈𑄬𑄝𑄬𑄘𑄬
বেঁটে চালগুলো একদম গুড়ো হয়েছে,𑄝𑄘𑄨 𑄝𑄘𑄭 𑄘𑄪𑄝𑄨𑄘𑄝𑄭 𑄌𑄮𑄣𑄮 𑄉𑄪𑄢𑄨𑄃𑄚𑄳𑄦𑄨 𑄃𑄬𑄇𑄴𑄈𑄬 𑄜𑄉𑄪 𑄦𑄪𑄠𑄳𑄦𑄬𑅁
ফাল্গুন মাস,𑄜𑄉𑄮𑄚𑄴 𑄟𑄳𑄦𑄌𑄴
জমিতে সার দিলে তারপর নাকি ধান ফলে,𑄞𑄪𑄠𑄮𑄖𑄴 𑄜𑄌𑄴 𑄘𑄨𑄣𑄳𑄦𑄬 𑄖𑄳𑄦𑄬 𑄞𑄬𑄣𑄬 𑄙𑄚𑄚𑄳𑄦𑄨 𑄝𑄧𑄣𑄬𑄘𑄬
তার অভ্যাসটা এখনো ফেলতে পারেনাই,𑄖 𑄜𑄎𑄃𑄳𑄦𑄚𑄴 𑄃𑄬𑄞𑄧 𑄜𑄬𑄣𑄳𑄦𑄬 𑄚𑄳𑄦𑄧 𑄛𑄢𑄬𑄉𑄮𑄠𑄴
তোমার ব্যবহারটা একটু সুন্দর করিও তো,𑄖𑄧 𑄜𑄎𑄃𑄳𑄦𑄚𑄴 𑄘𑄮𑄣𑄴 𑄉𑄧𑄢𑄳𑄦𑄨𑄌𑄴 𑄘𑄬 𑄃𑄬𑄇𑄴𑄇
আরও সেখানে তার ব্যবহারটা বের করতেছে,𑄃𑄢𑄳𑄦𑄧 𑄖 𑄜𑄎𑄃𑄳𑄦𑄚𑄴 𑄚𑄳𑄦𑄬𑄉𑄬𑄣𑄢𑄴 𑄃𑄨𑄠𑄳𑄦𑄮𑄖𑄴
আমি তার ব্যবহারটা আর দেখতে পারতেছিনা,𑄟𑄪𑄠𑄴 𑄖 𑄜𑄎𑄃𑄳𑄦𑄚𑄴 𑄃𑄨𑄏𑄪 𑄘𑄳𑄦𑄬 𑄚𑄧 𑄛𑄢𑄧𑄋𑄧𑄖𑄴𑄗𑄬𑅁
সে কি শুধু ঘুরে বেড়ায়,𑄥𑄨𑄝𑄳𑄦𑄬 𑄇𑄨 𑄝𑄚 𑄜𑄖𑄴𑄖𑄮 𑄝𑄬𑄢𑄭𑄘𑄬
ঘুরে বেড়ানো কুকুর,𑄜𑄖𑄴𑄖𑄮 𑄇𑄪𑄉𑄪𑄢𑄴
তুমি এত ঘুরাফেরা করো কেনো কে জানে,𑄖𑄪𑄠𑄴 𑄃𑄳𑄦𑄬𑄟𑄴𑄝 𑄇𑄨 𑄜𑄖𑄴𑄖𑄮 𑄦𑄧𑄣𑄬 𑄇𑄧𑄚𑄴𑄚𑄳𑄦 𑄇𑄳𑄦𑄮 𑄛𑄢𑄬𑅁
মিথ্যা কথা,𑄜𑄘 𑄉𑄧𑄛𑄴
ফাটা দাগ,𑄜𑄘 𑄘𑄇𑄴
ফাটা/ছেঁড়া,𑄜𑄘 𑄌𑄬𑄢
ছেঁড়া  ছেঁড়া,𑄜𑄘 𑄜𑄘
ছেঁড়া ছেঁড়া জামাকাপড়,𑄜𑄘 𑄜𑄘 𑄛𑄳𑄦𑄬𑄚𑄴 𑄥𑄪𑄣𑄪𑄟𑄴
সে ছেঁড়া জামাকাপড় পরে আসছে,𑄜𑄘 𑄜𑄘 𑄇𑄝𑄧𑄢𑄴 𑄌𑄪𑄝𑄮𑄢𑄴 𑄃𑄪𑄢𑄳𑄦𑄨 𑄃𑄨𑄌𑄴𑄍𑄬 𑄖𑄬
সেই ছেড়া টাকাগুলো নিবে ও না,𑄥𑄬 𑄜𑄘 𑄌𑄬𑄢 𑄖𑄬𑄋𑄃𑄳𑄦𑄪𑄚𑄴 𑄃𑄬𑄇𑄴𑄇 𑄚𑄧𑄠𑄳𑄦𑄮 𑄌𑄧𑄣𑄨𑄝𑄇𑄴𑄇𑄬
বিল্ডিংয়ে কত বড় ফাটা দাগ পরছে,𑄝𑄨𑄣𑄴𑄙𑄨𑄋𑄚𑄧𑄖𑄴 𑄇𑄧𑄟𑄴𑄞 𑄜𑄘 𑄘𑄇𑄴 𑄣𑄪𑄠𑄳𑄦𑄬
মিথ্যা কথা বলতেছো মনে হয় তুমি!সে কত বড় গলার স্বর বের করলো শুনেছো?,𑄜𑄘 𑄉𑄧𑄛𑄴 𑄟𑄢𑄧𑄖𑄴𑄗𑄬 𑄚𑄧 𑄚𑄳𑄦𑄬 𑄖𑄪𑄠𑄴! 𑄥𑄨𑄝𑄳𑄦𑄬 𑄇𑄧𑄟𑄴𑄞 𑄜𑄘 𑄌𑄬𑄢 𑄢𑄧 𑄚𑄳𑄦𑄬𑄉𑄬𑄣𑄬𑄠𑄳𑄦𑄬 𑄥𑄪𑄚𑄴𑄐𑄮𑄌𑄴 𑄚𑄨?
ছিঁড়ে যাওয়া/দেয়া/ফেলা,𑄜𑄘𑄨 𑄎𑄚/𑄘𑄬𑄚/ 𑄜𑄬𑄣𑄚𑄳𑄦
বলটা এক লাঠিতে ফেটে গেলো,𑄝𑄳𑄦𑄮𑄣𑄴𑄣𑄮 𑄃𑄬𑄊𑄪 𑄣𑄙𑄨𑄖𑄴 𑄜𑄖𑄴𑄖𑄳𑄠𑄳𑄦𑄬
এই কাগজগুলো কে ছিঁড়ে ফেলছে?যে খাইছে তার পেট ফেটে গিয়ে মরবে তো,"𑄃𑄬 𑄇𑄉𑄮𑄌𑄴𑄌𑄚𑄳𑄦𑄨 𑄇𑄧𑄚𑄴𑄚𑄳𑄦 𑄜𑄘𑄨 𑄜𑄬𑄣𑄬𑄣𑄳𑄦𑄧? 𑄎𑄬 𑄈𑄨𑄠𑄳𑄦𑄬 𑄖𑄬, 𑄈𑄇𑄴𑄇𑄬 𑄛𑄬𑄖𑄴𑄗𑄮 𑄜𑄘𑄨𑄚𑄬𑄠𑄴 𑄟𑄧𑄢𑄨𑄝𑄮 𑄙𑄧"
সেটা তো ফেটে যাবার মতো হয়ছে,𑄃𑄨𑄞𑄬 𑄙𑄧 𑄜𑄘𑄨 𑄎𑄬𑄝𑄢𑄴 𑄃𑄧𑄇𑄴𑄗𑄧 𑄦𑄪𑄠𑄳𑄦𑄬
"বকবক করিও না,মারলে ফেটে ফেলবো","𑄛𑄬𑄘𑄬 𑄛𑄬𑄘𑄬 𑄚𑄧 𑄉𑄧𑄢𑄳𑄦𑄨𑄌𑄴, 𑄟𑄃𑄬𑄢𑄧𑄖𑄴 𑄜𑄘𑄬 𑄜𑄬𑄣𑄳𑄦𑄬𑄟𑄴𑅁"
ফানুস,𑄜𑄚𑄌𑄴 𑄝𑄖𑄴𑄖𑄨
ফানুস উড়ানো/বানানো,"𑄜𑄚𑄌𑄴 𑄃𑄪𑄢𑄚, 𑄝𑄚𑄚"
স্বর্গে বুদ্ধের চুলগুলো পূজা করার জন্য ফানুস উড়ানো হয়,𑄥𑄧𑄢𑄴𑄉𑄧𑄖𑄴 𑄝𑄪𑄖𑄴𑄙𑄮 𑄌𑄪𑄣𑄚𑄳𑄦𑄨𑄢𑄬 𑄛𑄪𑄎𑄨𑄝𑄖𑄴𑄖𑄭 𑄜𑄚𑄌𑄴 𑄃𑄪𑄢𑄚𑄴𑄚𑄬
ফানুসটা উঠতেছে,𑄜𑄚𑄌𑄴𑄌𑄮 𑄃𑄪𑄘𑄬𑄣𑄴𑄣𑄳𑄦𑄮𑄠𑄴
ফানুসে আগুন লাগছে,𑄜𑄚𑄌𑄴𑄌𑄳𑄦𑄮𑄖𑄴 𑄃𑄊𑄪𑄚𑄴 𑄙𑄪𑄌𑄴𑄌𑄳𑄦𑄬𑅁
"পরানটা কেমন করতেছে,কি খাবো?পরান এমন করলে কেমনে কাটবে কে জানে","𑄛𑄧𑄢𑄚𑄴 𑄜𑄛𑄳𑄦 𑄉𑄧𑄢𑄳𑄦𑄬𑄢𑄴, 𑄇𑄨 𑄈𑄬𑄟𑄴? 𑄛𑄧𑄢𑄚𑄴 𑄜𑄛𑄳𑄦 𑄉𑄧𑄣𑄴𑄣𑄳𑄦𑄬 𑄇𑄬𑄚𑄳𑄦𑄬 𑄇𑄘𑄬𑄝𑄧 𑄇𑄨𑄎𑄬𑄚𑄨𑅁"
"১,ছিঁড়া /উঁচা",𑄷. 𑄜𑄢 𑄃𑄪𑄙𑄮
তার জানাটা কতটুকু ছিঁড়া!সাপের জিব্হা   ছিঁড়া,𑄖 𑄥𑄪𑄣𑄪𑄟𑄴𑄟𑄳𑄦𑄮 𑄇𑄪𑄖𑄴𑄙𑄪𑄢𑄴 𑄜𑄢! 𑄥𑄝𑄧 𑄎𑄨𑄣𑄚𑄳𑄦𑄨 𑄜𑄢
কতটুকু ছিঁড়া গেলো,𑄸. 𑄇𑄧𑄟𑄴𑄞 𑄃𑄬𑄇𑄴𑄊𑄚𑄴 𑄜𑄢 𑄎𑄬𑄣𑄧𑄊𑄮𑄠𑄴
এই দোষটা কেমনে কাটাবে,𑄃𑄬 𑄜𑄢 𑄘𑄧𑄏 𑄇𑄬𑄚𑄳𑄦𑄬 𑄇𑄘𑄬𑄘𑄧?
সে বাঁশটা কেটে আগুনে দিল,𑄖𑄬 𑄝𑄌𑄴𑄍𑄮 𑄜𑄢𑄨𑄚𑄬𑄠𑄴 𑄃𑄉𑄪𑄚𑄳𑄦𑄮𑄖𑄴 𑄘𑄨𑄣𑄳𑄦𑄮
কাঠগুলো কেটে কেটে রোদে দাও,𑄘𑄢𑄴𑄞𑄮𑄃𑄚𑄨 𑄜𑄢𑄨 𑄜𑄢𑄳𑄦𑄨 𑄢𑄮𑄘𑄮𑄖𑄴 𑄘𑄬𑄉𑄮𑄠𑄴
সেই কাটা কাঠটা একপাশে রাখতে হবে,𑄥𑄬 𑄜𑄌𑄴𑄎𑄬 𑄘𑄢𑄴𑄞𑄮𑄃𑄚𑄨 𑄃𑄬𑄇𑄴𑄇𑄪𑄢𑄬𑄚𑄴𑄚𑄳𑄦𑄨 𑄗𑄮 𑄛𑄧𑄢𑄨𑄝𑄮𑅁
কোমরের সুতা,𑄜𑄢𑄧𑄖𑄴 𑄘𑄧𑄢𑄨
কোমরটা একদম ছোট হয়েছে তার,𑄜𑄢𑄴𑄝𑄳𑄦𑄮 𑄃𑄧𑄟𑄧𑄉𑄧𑄘𑄧 𑄌𑄨𑄖𑄴𑄖𑄮 𑄦𑄧𑄣𑄴𑄣𑄮𑄠𑄴 𑄖𑄢𑄴
কোমর পর্যন্ত ডুবে যায়া জমিতে,𑄜𑄢𑄴 𑄥𑄧𑄁 𑄉𑄢 𑄎𑄭 𑄥𑄬 𑄘𑄧𑄚𑄴𑄘𑄧𑄟 𑄞𑄪𑄠𑄴
গাঙে কোমর পর্যন্ত পানি,𑄥𑄧𑄢𑄃𑄳𑄦𑄚𑄴 𑄜𑄢𑄴 𑄥𑄧𑄁 𑄛𑄚𑄳𑄦𑄨𑅁
আলাদা/একত্রে,𑄜𑄢𑄧𑄇𑄴 – 𑄃𑄬𑄉𑄧𑄖𑄴𑄖𑄧𑄢𑄴
